Ciclo,Cultivo,Calendario,Año_EVA,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Transitorio,Plantas aromáticas,Cosechas,2022,11.21,12.41,14.82,9.32,3.79,6.99,9.23,4.35,9.07,8.39,2.67,7.76
Transitorio,Plantas aromáticas,Siembras,2022,2.21,2.87,6.33,6.6,4.74,17.06,3.29,2.73,14.92,20.68,17.08,1.48
Permanente,Plátano,Cosechas,2022,5.5,7.84,9.85,9.18,10.32,9.16,7.39,7.96,8.41,9.6,8.51,6.28
Permanente,Plátano,Siembras,2022,6.99,9.72,15.96,15.92,11.59,6.87,3.62,8.29,8.08,7.29,4.15,1.54
Transitorio,Quinua,Cosechas,2022,14.2,11.16,3.71,2.28,14.77,13.38,15.89,2.89,4.5,2.17,8.2,6.85
Transitorio,Quinua,Siembras,2022,6.64,12.94,16.92,13.4,1.97,0.78,3.23,3.17,4.7,33.68,1.29,1.29
Transitorio,Rábano,Cosechas,2022,6.81,6.81,0,0,6.61,19.84,19.84,0,10.69,10.69,10.69,8.01
Transitorio,Rábano,Siembras,2022,0,0,13.27,13.27,19.9,0,10.71,10.71,10.71,8.04,8.04,5.36
Transitorio,Remolacha,Cosechas,2022,7.86,8.39,7.88,12.18,6.33,5.33,5.45,6.92,6.2,11.39,10.79,11.3
Transitorio,Remolacha,Siembras,2022,8.93,7.68,7.74,9.65,8.74,7.31,8.67,8.2,8.49,8.76,8.88,6.94
Transitorio,Repollo,Cosechas,2022,9.65,6.61,8.09,8.53,9.01,6.2,5.18,8.41,3.96,11.23,7.07,16.07
Transitorio,Repollo,Siembras,2022,9.18,10.4,10.23,8.26,7.72,6.22,9.54,7.26,13.59,7.89,5.55,4.16
Permanente,Romero,Cosechas,2022,7.28,8.58,9.58,8.9,8.59,9.78,9.2,9.12,7.4,7.14,6.3,8.12
Permanente,Romero,Siembras,2022,6.34,12.57,13.29,12.75,9.99,7.4,6.97,5.13,7.79,8.24,6.68,2.85
Permanente,Ruda,Cosechas,2022,10,10,10,10,10,10,10,10,5,5,5,5
Permanente,Ruda,Siembras,2022,6.34,12.57,13.29,12.75,9.99,7.4,6.97,5.13,7.79,8.24,6.68,2.85
Permanente,Ruscus,Cosechas,2022,4,4,4,6,21,5,5,6,25,5,5,10
Permanente,Ruscus,Siembras,2022,0,0,40,40,20,0,0,0,0,0,0,0
Permanente,Sábila,Cosechas,2022,8.48,10.63,3.19,3.62,3.16,11.9,11.12,2.49,3.13,31.09,3.25,7.93
Permanente,Sábila,Siembras,2022,0,9.55,25.85,24.58,14.94,0,0.73,0,0,21.93,2.43,0
Permanente,Sacha inchi,Cosechas,2022,0,0.44,0,0,0,24.86,11.27,24.09,11.27,0,28.06,0
Permanente,Sacha inchi,Siembras,2022,46.41,7.75,32.07,8.81,0,0,0,1.06,0,1.06,0,2.83
Transitorio,Sorgo,Cosechas,2022,10.33,8.13,2.87,0.33,2.01,12.74,15.7,6.55,2.4,4.6,15.12,19.24
Transitorio,Sorgo,Siembras,2022,0.29,5.17,8.93,7.39,3.54,16.1,6.98,22.67,9.9,15.94,2.38,0.72
Transitorio,Soya,Cosechas,2022,1.1,0.7,0.11,0,0,0,20.65,50.36,0,0,1.79,25.28
Transitorio,Soya,Siembras,2022,0,0,17.3,43.28,0,0,0,22.36,17.06,0,0,0
Permanente,Stevia,Cosechas,2022,0,0,25,0,0,25,0,0,25,0,0,25
Permanente,Stevia,Siembras,2022,6.34,12.57,13.29,12.75,9.99,7.4,6.97,5.13,7.79,8.24,6.68,2.85
Transitorio,Tabaco negro,Cosechas,2022,0.98,0.13,2.62,9.4,7.25,10.91,7.92,11.57,15.09,14.42,12.21,7.5
Transitorio,Tabaco negro,Siembras,2022,6.58,6.53,12.62,17.38,15.22,6.4,8.27,16.27,3.3,3.92,2.82,0.69
Permanente,Tamarindo,Cosechas,2022,50,25,0,0,0,0,0,0,0,0,0,25
Permanente,Tamarindo,Siembras,2022,0,0,50,50,0,0,0,0,0,0,0,0
Permanente,Té,Siembras,2022,6.34,12.57,13.29,12.75,9.99,7.4,6.97,5.13,7.79,8.24,6.68,2.85
Permanente,Té,Cosechas,2022,9,9,8,8,8,8,8,9,9,8,8,8
Transitorio,Tomate,Cosechas,2022,5.34,4.86,5.25,6.9,12.66,10.79,13.43,10.83,6.38,7.01,8.38,8.17
Transitorio,Tomate,Siembras,2022,10.17,14.77,12.34,10.4,8.28,6.18,6.24,7.35,8.48,7.89,4.88,3.04
Permanente,Tomate de árbol,Cosechas,2022,6.17,7.23,8.47,9.5,10.79,8.33,8.55,9.84,10.34,8.79,6.34,5.67
Permanente,Tomate de árbol,Siembras,2022,9.97,10.62,14.18,19.65,13.11,6.58,5.64,6.43,3.03,6.26,3.77,0.76
Permanente,Tomillo,Cosechas,2022,0,0,9.77,0,4.88,9.77,4.88,4.88,9.77,19.49,12.19,24.37
Permanente,Tomillo,Siembras,2022,10,5,10,0,15,10,10,5,10,0,15,10
Transitorio,Trigo,Cosechas,2022,8.67,5.75,1.4,0.98,13.61,9.73,11.94,18.83,14.38,2.61,2.53,9.57
Transitorio,Trigo,Siembras,2022,1.93,19.42,28.59,14.93,1.95,0.47,2.84,9.19,12.08,7.07,1.15,0.38
Permanente,Uchuva,Cosechas,2022,8.37,7.71,7.51,7.24,7.8,8.51,9.23,8.74,9.11,8.79,8.73,8.26
Permanente,Uchuva,Siembras,2022,2.57,9.39,14.47,15.97,17.34,13.32,9.8,5.76,5.27,1.97,2.22,1.92
Transitorio,Ulluco,Cosechas,2022,1.15,27.16,5.35,17.91,2.89,4.99,23.46,3,3.04,5.83,3.23,2
Transitorio,Ulluco,Siembras,2022,9.83,8.64,16.96,13.77,2.31,1.86,4.45,1.58,8.45,27.44,2.61,2.11
Permanente,Uva,Cosechas,2022,31.58,3.82,2.55,2.92,5.02,10.1,8.01,3.62,4.48,3.35,8.25,16.3
Permanente,Uva,Siembras,2022,5.27,9.56,17.13,21.74,6.84,7.57,2.57,3.21,9.15,13.18,1.94,1.85
Transitorio,Yuca,Cosechas,2022,10.98,7.8,7.42,7.75,6.47,4.38,3.47,1.54,4.47,6.82,15.35,23.55
Transitorio,Yuca,Siembras,2022,1.82,2.14,12.06,23.8,33.32,11.75,3.8,3.39,3.49,2.53,1.27,0.63
Transitorio,Zanahoria,Cosechas,2022,7.27,8.78,7.35,5.13,5.42,9.39,13.08,7.85,5.77,7.26,10.43,12.29
Transitorio,Zanahoria,Siembras,2022,6.13,10.55,10.81,9.37,6.78,4.58,9.09,10.12,13.31,10.01,6.3,2.97
Permanente,Zapote,Cosechas,2022,1.02,8,6.49,5.79,6.48,8.84,12.43,22.68,13.21,4.43,10.64,0
Permanente,Zapote,Siembras,2022,29.29,7.32,17.68,6.69,1.34,0,0,0,0,6.69,5.36,25.63
