Ciclo,Cultivo,Calendario,Año_EVA,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Transitorio,Brócoli,Cosechas,2022,8.97,8.31,10.37,8.78,6.84,8,8.37,7.66,6.92,7.84,7.79,10.15
Transitorio,Brócoli,Siembras,2022,9.51,8.92,7.66,7.19,8.72,8.43,7.41,8.05,8.48,9.59,9.21,6.83
Permanente,Cacao,Cosechas,2022,5.82,5.81,7.64,12.31,11.4,10.83,5.36,6.62,6.48,9.29,10.44,8
Permanente,Cacao,Siembras,2022,2.14,7.16,17.1,22.16,13.73,7.75,3.95,9.18,6.32,4.86,4.05,1.61
Permanente,Café,Cosechas,2022,2.05,4.3,9.55,14.75,14.03,7.2,2.74,3.15,8.52,16.47,12.2,5.04
Permanente,Café,Siembras,2022,4.65,8.61,18.15,16.51,13.72,5,4.59,5.97,5.9,8.83,6.84,1.23
Permanente,Caímo,Cosechas,2022,6.21,8.12,8.88,7.5,3.1,2.23,11.01,4.56,10.98,18.44,6.5,12.47
Permanente,Caímo,Siembras,2022,7.14,8.75,14.35,16.03,13.43,6.99,6.95,5.84,6.29,6.85,4.98,2.41
Transitorio,Calabaza o calabacín,Cosechas,2022,11.18,11.39,3.59,1.44,1.39,6.39,1.49,20.7,1.2,27.65,5.88,7.71
Transitorio,Calabaza o calabacín,Siembras,2022,0,10.72,0,16.08,26.8,0,5.69,9.28,5.69,9.65,13.25,2.84
Permanente,Caña azucarera,Cosechas,2022,5.62,8.7,7.65,8.51,6.26,10.06,6.37,9.88,9.97,8.61,9.79,8.58
Permanente,Caña azucarera,Siembras,2022,5.31,0.36,0.36,42.39,26.26,15.95,9.38,0,0,0,0,0
Permanente,Caña miel,Cosechas,2022,8.1,8.43,12.93,21.33,7.54,5.61,6.03,7.06,6.75,6.53,5.01,4.67
Permanente,Caña miel,Siembras,2022,2.17,2.73,10.3,32.75,13.52,3.05,2.47,9.87,8.99,8.92,2.98,2.24
Permanente,Caña panelera,Cosechas,2022,8.19,8.33,8.24,9.3,8.8,9.22,9.27,8.99,9.06,7.51,7.1,5.98
Permanente,Caña panelera,Siembras,2022,5.06,8.58,15.41,16.68,11.2,6.24,5.98,6.62,8.24,9.34,4.39,2.26
